Country;Score;Property Rights;Judicial Effectiveness;Government Integrity;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Albania;66.6;58.3;59.2;39.6;88.8;71.9;76.4;74.2;51.3;75.8;83.4;60;60
Algeria;47.5;27.6;29.8;29.5;80.3;64.4;58.1;59.1;52.4;70.9;57.4;20;20
Angola;55;39.9;25.7;28.2;86.9;89.5;89.1;45.2;50.8;64.2;70.4;30;40
Argentina;54.2;34.7;56.5;39.7;70.8;57.1;67.9;55.3;55.2;23.3;64.4;65;60
Armenia;65.4;49.9;31.3;50.4;88.1;77.6;81.3;73;59.2;72.2;72;70;60
Australia;79.3;90.4;95.3;86.2;62.1;54.8;79.5;92.5;65.3;75;90;80;80
Austria;69.7;97;94.8;75.4;46.3;13.5;63.7;81.7;81.8;72.7;79.6;60;70
Azerbaijan;62.5;52.9;16.7;22;87.9;72.3;99;71.2;57.6;70.1;69.8;70;60
The Bahamas;63.2;61.8;78.6;66.2;97.2;77.2;6.7;70;68.8;72.9;49;50;60
Bahrain;65.6;65.4;30.2;39.8;99.9;74.3;0;76.5;55.3;88.7;86.6;90;80
Bangladesh;54.7;36.5;27.9;23.3;82.6;95;70.2;53.9;47.4;67.1;62.2;50;40
Barbados;68.9;72.8;86.9;71.7;83.6;74.1;68.8;73.1;56.4;78.4;40.8;60;60
Belarus;48.9;20.9;10.5;28.8;89.3;55.6;96.2;50.9;48;67.2;69.2;30;20
Belgium;69;92.8;93;79.3;50.6;11.8;48;82.3;58.6;76.8;79.6;85;70
Belize;64.2;35.1;72.6;44.4;83.2;82.2;86.5;68.3;65.1;71.2;56.6;55;50
Benin;58.5;44.8;49.1;42.4;69.4;88.4;51.9;53.7;58.7;80.3;63;50;50
Bhutan;57.5;69.7;62.9;71.1;83.4;68.2;25.8;67.2;57.7;70.5;63;20;30
Bolivia;44.1;19.9;29.4;27.3;88.8;61.8;4.4;54.8;56.5;70.6;60.6;15;40
Bosnia and Herzegovina;63.5;48.3;33.9;36.2;93.6;51.2;97.9;67.1;66.2;72.5;70;65;60
Botswana;69.9;74.1;70.5;60.1;84.9;70.8;90.4;70.6;60.7;68.3;78.8;50;60
Brazil;55.1;51.4;54.2;36.4;74.8;44.3;49.6;66.8;57.1;74.4;71.6;40;40
Brunei;67;69.7;52.8;34.2;95;75.9;51.7;77.1;75.1;72.8;84.8;65;50
Bulgaria;68.8;75.7;56.6;48.5;94.2;56.7;91.1;74.9;68;70.8;79.6;60;50
Burkina Faso;51;28.1;35.7;40.7;82;73.3;13.7;38.6;61.9;71.9;61.4;65;40
Burma;43.7;17.3;4.2;18.7;88.6;84;39.9;39.9;53.2;59.7;68.6;30;20
Burundi;39.7;28.6;7.4;14.2;76.1;71.1;12.2;31.9;50;54.4;50.8;50;30
Cabo Verde;68.7;64.6;75.1;64.4;84.4;77.8;54.7;80.2;59.6;76.5;67;60;60
Cambodia;58.2;41.7;22.7;17.6;89.8;88.8;86.6;61;47.2;74.1;69.2;50;50
Cameroon;52.1;31.3;10.3;20.7;72.9;91.2;92.3;48.8;46.5;73.7;57.2;30;50
Canada;75.5;89;95.6;85.4;74.8;44.6;78;84.6;69.4;71.5;83.2;60;70
Central African Republic;42.8;6.9;4;19.6;65.5;89.8;53.8;27.1;48.3;72.8;50.4;45;30
Chad;52.2;27.4;14.5;14.1;78.5;92.9;97.9;28.7;53.5;72;47.2;60;40
Chile;73.2;71.3;87.8;67.9;72.5;74.4;84.2;79.5;61.3;71.8;78;60;70
China;49;46.7;37.4;40.4;71.6;67.1;11.1;67.7;57.9;74.6;74;20;20
Colombia;59.8;45.5;58.8;40.9;67.6;64.4;48.7;68.6;61.7;69.4;72.2;60;60
Comoros;51.4;22.9;20.9;16;65.3;89.5;86.1;49.9;55.1;71.3;64.2;45;30
Democratic Republic of Congo;47.3;15.6;12;11.7;74.2;92.4;97;32.8;54.4;59.4;68.2;30;20
Republic of Congo;48.6;30.8;14.9;13.2;75.5;86.2;80.4;36.9;52.5;77.7;49.6;35;30
Costa Rica;68.6;65.9;75.7;60.4;78.5;88.6;70.8;80.3;62.1;74.9;75.4;50;40
Côte d’Ivoire;57.8;46.3;31.1;36.6;82.2;86.3;42.4;65.2;56.8;66.5;70;60;50
Croatia;68.7;81.3;71.4;53.4;77.3;35.1;90.3;80.4;69.1;66.6;79.6;60;60
Cuba;25.4;29.9;14.3;33.4;51.9;0;0;42.3;20;20;72.8;10;10
Cyprus;73.2;83.7;89.2;57.3;79.9;51.2;85.2;78.9;61.9;76.1;79.6;75;60
Czech Republic;72.9;89.9;92;62.8;78.9;42.2;71.5;81.4;57.9;68.9;79.6;70;80
Denmark;79.1;99.3;90.5;98;45;33.6;98.2;93;64.9;76.6;79.6;90;80
Djibouti;55.7;30.6;27.7;27.7;83.5;86.2;86.6;53.7;52.8;70.3;49.8;50;50
Dominica;55.3;68.9;82.9;59.9;76.1;0;26.4;68;49.9;76.8;54.6;60;40
Dominican Republic;64.3;56.3;58.2;38.5;84.6;89.5;77;75.6;53.1;69.4;68.8;60;40
Ecuador;55.8;30.5;48;33.8;76.6;54.9;89.3;66.6;57.4;75.3;67.2;30;40
